rings.v3.skycell.0751.059.wrp.r.56290_57022.fits

Name	RA	DEC	g	g_err	r	r_err	i	i_err	z	z_err	y	y_err
PSO J160.2446-25.8121	160.2446	-25.8121	17.77120018005371	0.004563999827951193	17.306299209594727	0.010394000448286533	17.111600875854492	0.004277000203728676	17.068099975585938	0.00612299982458353	17.01689910888672	0.009816999547183514
PSO J160.3655-25.5940	160.3655	-25.594	17.854799270629883	0.009101999923586845	17.32200050354004	0.0019320000428706408	17.100799560546875	0.0031659998930990696	17.01129913330078	0.0040870001539587975	16.972400665283203	0.013291999697685242


rings.v3.skycell.0751.059.wrp.r.56290_57022.fits

Name	RA	DEC	g	g_err	r	r_err	i	i_err	z	z_err	y	y_err
PSO J160.3477-25.7884	160.3477	-25.7884	16.38759994506836	0.01102800015360117	16.028400421142578	0.00434499979019165	15.907699584960938	0.005423999857157469	15.864299774169922	0.00241800001822412	15.829899787902832	0.004081999883055687
PSO J160.2499-25.6466	160.2499	-25.6466	17.593599319458008	0.003903999924659729	17.22920036315918	0.0025939999613910913	17.10110092163086	0.004782000090926886	17.070899963378906	0.0033390000462532043	17.048500061035156	0.012524000369012356
PSO J160.4581-25.7913	160.4581	-25.7913	17.00119972229004	0.006477000191807747	16.531700134277344	0.0021180000621825457	16.358800888061523	0.003106999909505248	16.289199829101562	0.004201999865472317	16.265300750732422	0.0057669999077916145
PSO J160.4773-25.7874	160.4773	-25.7874	16.29129981994629	0.0029269999358803034	15.808500289916992	0.003134000115096569	15.65530014038086	0.0036329999566078186	15.621700286865234	0.004588000010699034	15.585200309753418	0.0052089998498559
PSO J160.4143-25.8538	160.4143	-25.8538	16.063499450683594	0.0071829999797046185	15.67389965057373	0.002824000082910061	15.528599739074707	0.004226000048220158	15.476799964904785	0.0035780000034719706	15.452500343322754	0.0036039999686181545
PSO J160.4753-25.7546	160.4753	-25.7546	17.313800811767578	0.0045090001076459885	16.8617000579834	0.007637000177055597	16.677600860595703	0.005549999885261059	16.613500595092773	0.004780999850481749	16.569000244140625	0.003909999970346689
PSO J160.4900-25.7721	160.49	-25.7721	16.00349998474121	0.005197999998927116	15.600799560546875	0.0027489999774843454	15.46030044555664	0.002234000014141202	15.408100128173828	0.005241999868303537	15.389800071716309	0.003109999932348728
PSO J160.3247-25.7493	160.3247	-25.7493	16.31130027770996	0.004865999799221754	15.940799713134766	0.00343999988399446	15.82509994506836	0.0014059999957680702	15.80370044708252	0.003343000076711178	15.78339958190918	0.0031320000998675823
PSO J160.2614-25.7831	160.2614	-25.7831	16.528400421142578	0.0051380000077188015	16.212299346923828	0.0025369999930262566	16.10379981994629	0.002865999937057495	16.10300064086914	0.0036700000055134296	16.094900131225586	0.006370000075548887
PSO J160.2834-25.7810	160.2834	-25.781	16.941200256347656	0.006366000045090914	16.602500915527344	0.002230999991297722	16.485200881958008	0.0026400000788271427	16.475400924682617	0.0034680000972002745	16.452800750732422	0.006974999792873859
PSO J160.4838-25.7484	160.4838	-25.7484	16.938899993896484	0.0048859999515116215	16.61669921875	0.002920999890193343	16.491199493408203	0.0034920000471174717	16.464399337768555	0.0037960000336170197	16.450199127197266	0.006163999903947115
PSO J160.5040-25.6760	160.504	-25.676	17.619199752807617	0.001749000046402216	17.12820053100586	0.0022909999825060368	16.95549964904785	0.0022249999456107616	16.894800186157227	0.00408599991351366	16.8356990814209	0.00784900039434433
PSO J160.2188-25.6731	160.2188	-25.6731	16.886499404907227	0.002248999895527959	16.478900909423828	0.004526000004261732	16.36280059814453	0.0024949999060481787	16.3174991607666	0.0034260000102221966	16.284700393676758	0.004556000232696533
PSO J160.2465-25.6701	160.2465	-25.6701	16.737499237060547	0.004335999954491854	16.27359962463379	0.0026660000439733267	16.097400665283203	0.002503999974578619	16.0314998626709	0.004517999943345785	15.986700057983398	0.005468000192195177
PSO J160.3363-25.7091	160.3363	-25.7091	16.36090087890625	0.010823000222444534	15.936699867248535	0.0023930000606924295	15.790399551391602	0.001183000043965876	15.746800422668457	0.004104000050574541	15.70359992980957	0.0073830001056194305
PSO J160.2446-25.8121	160.2446	-25.8121	17.77120018005371	0.004563999827951193	17.306299209594727	0.010394000448286533	17.111600875854492	0.004277000203728676	17.068099975585938	0.00612299982458353	17.01689910888672	0.009816999547183514
PSO J160.3140-25.7031	160.3139	-25.7033	16.654800415039062	0.0054779998026788235	16.239299774169922	0.014000999741256237	16.062299728393555	0.010308999568223953	16.03619956970215	0.008372999727725983	15.9931001663208	0.00784400012344122
PSO J160.3013-25.6649	160.3014	-25.6649	17.338199615478516	0.004472999833524227	16.99489974975586	0.006271999794989824	16.847700119018555	0.0049230000004172325	16.809999465942383	0.0065390001982450485	16.7731990814209	0.008042000234127045
PSO J160.3625-25.7088	160.3625	-25.7088	17.559600830078125	0.008062000386416912	16.920700073242188	0.0030529999639838934	16.6466007232666	0.0031349998898804188	16.525699615478516	0.004610999953001738	16.444599151611328	0.005260999780148268
PSO J160.3907-25.8100	160.3907	-25.81	17.494699478149414	0.00447099981829524	16.997699737548828	0.002518000081181526	16.791099548339844	0.0037559999618679285	16.691099166870117	0.0036589999217540026	16.65130043029785	0.006233000196516514
PSO J160.3771-25.6968	160.3771	-25.6968	17.638500213623047	0.004122000187635422	17.27720069885254	0.0032820000778883696	17.12700080871582	0.005942999850958586	17.074899673461914	0.005485000088810921	17.043100357055664	0.012519000098109245
PSO J160.3655-25.5940	160.3655	-25.594	17.854799270629883	0.009101999923586845	17.32200050354004	0.0019320000428706408	17.100799560546875	0.0031659998930990696	17.01129913330078	0.0040870001539587975	16.972400665283203	0.013291999697685242
PSO J160.3282-25.6701	160.3282	-25.6701	16.22559928894043	0.0025390000082552433	15.943099975585938	0.0011759999906644225	15.849100112915039	0.0026400000788271427	15.82349967956543	0.0033740000799298286	15.786800384521484	0.0059910002164542675
PSO J160.4461-25.8108	160.4461	-25.8108	15.890700340270996	0.006027999799698591	15.565600395202637	0.0035500000230968	15.45259952545166	0.006328000221401453	15.418399810791016	0.003091000020503998	15.413599967956543	0.0031169999856501818
PSO J160.4336-25.6933	160.4336	-25.6933	16.64550018310547	0.006678000092506409	16.06220054626465	0.003102000104263425	15.832300186157227	0.004290000069886446	15.717599868774414	0.002753000007942319	15.647199630737305	0.004253999795764685
PSO J160.2905-25.7503	160.2905	-25.7503	17.4197998046875	0.003008000086992979	16.97209930419922	0.003616000059992075	16.79669952392578	0.00443900004029274	16.761499404907227	0.003969999961555004	16.72170066833496	0.011376000009477139
PSO J160.3540-25.7241	160.354	-25.7241	16.6289005279541	0.005483000073581934	16.184099197387695	0.004712999798357487	16.04330062866211	0.0026660000439733267	16.001699447631836	0.0034940000623464584	15.95829963684082	0.0058639999479055405
PSO J160.4805-25.7210	160.4805	-25.7209	17.618099212646484	0.00901199970394373	16.990400314331055	0.0038960000965744257	16.745500564575195	0.004069000016897917	16.638900756835938	0.0028029999230057	16.575599670410156	0.0062489998526871204
PSO J160.4240-25.8630	160.424	-25.863	17.181400299072266	0.007619000039994717	16.82509994506836	0.0057680001482367516	16.70009994506836	0.002322999993339181	16.656299591064453	0.006597000174224377	16.609100341796875	0.00899800006300211
PSO J160.2892-25.7891	160.2893	-25.7891	16.843700408935547	0.00737100001424551	16.56130027770996	0.005189999938011169	16.461599349975586	0.0024270000867545605	16.45829963684082	0.0038189999759197235	16.4606990814209	0.011358000338077545
PSO J160.2219-25.7123	160.2219	-25.7123	17.461299896240234	0.005109999794512987	16.877399444580078	0.003421999979764223	16.68429946899414	0.004991999827325344	16.6112003326416	0.0061690001748502254	16.562000274658203	0.005828999914228916


